code,name,market
2961,日本調理機,standard
2962,テクニスコ,standard
296A,令和アカウンティング・ホールディングス,growth
2970,ＧＬＣ　ＧＲＯＵＰ,standard
2975,スター・マイカ・ホールディングス,prime
2978,ツクルバ,growth
297A,アルピコホールディングス,standard
2980,ＳＲＥホールディングス,prime
2981,ランディックス,growth
2982,ＡＤワークスグループ,prime
2983,アールプランナー,growth
2984,ヤマイチエステート,standard
2986,ＬＡホールディングス,growth
298A,ＧＶＡ　ＴＥＣＨ,growth
2991,ランドネット,standard
2993,長栄,standard
2997,ストレージ王,growth
2998,クリアル,growth
2999,ホームポジション,standard
299A,クラシル,growth
3001,片倉工業,standard
3002,グンゼ,prime
3003,ヒューリック,prime
3004,神栄,standard
300A,ＭＩＣ,standard
3010,ポラリス・ホールディングス,standard
3011,バナーズ,standard
3020,アプライド,standard
3021,パシフィックネット,standard
3023,ラサ商事,standard
3024,クリエイト,standard
3028,アルペン,prime
302A,ビースタイルホールディングス,growth
3030,ハブ,standard
3031,ラクーンホールディングス,prime
3034,クオールホールディングス,prime
3035,ケイティケイ,standard
3036,アルコニックス,prime
3038,神戸物産,prime
303A,ｖｉｓｕｍｏ,growth
3040,ソリトンシステムズ,prime
3041,ビューティカダンホールディングス,standard
3042,セキュアヴェイル,standard
3045,カワサキ,standard
3046,ジンズホールディングス,prime
3048,ビックカメラ,prime
304A,フォルシア,growth
3050,ＤＣＭホールディングス,prime
3053,ペッパーフードサービス,standard
3054,ハイパー,standard
3058,三洋堂ホールディングス,standard
3059,ヒラキ,standard
3063,ジェイグループホールディングス,growth
3064,ＭｏｎｏｔａＲＯ,prime
3065,ライフフーズ,standard
3067,東京一番フーズ,standard
3068,ＷＤＩ,standard
3069,ＪＦＬＡホールディングス,standard
3070,ジェリービーンズグループ,growth
3071,ストリーム,standard
3075,銚子丸,standard
3076,あい　ホールディングス,prime
3077,ホリイフードサービス,standard
3079,ディーブイエックス,standard
3080,ジェーソン,standard
3082,きちりホールディングス,standard
3083,スターシーズ,standard
3086,Ｊ．フロント　リテイリング,prime
3087,ドトール・日レスホールディングス,prime
3088,マツキヨココカラ＆カンパニー,prime
3089,テクノアルファ,standard
3091,ブロンコビリー,prime
3092,ＺＯＺＯ,prime
3093,トレジャー・ファクトリー,prime
3096,オーシャンシステム,standard
